ticker:ccl            close   volume
date                      
2017-01-17  53.09  2738192
2017-01-18  53.60  3185992
2017-01-19  53.45  2163300
2017-01-20  53.30  2666166
2017-01-23  53.77  2381144
2017-01-24  54.53  2532776
2017-01-25  55.83  5113236
2017-01-26  56.93  5702299
2017-01-27  56.29  2927752
2017-01-30  55.64  3278992
2017-01-31  55.38  2966081
2017-02-01  55.47  1952068
2017-02-02  55.31  1514367
2017-02-03  55.28  1573611
2017-02-06  55.50  1466935
2017-02-07  55.45  1550046
2017-02-08  55.59  1723996
2017-02-09  56.31  3283833
2017-02-10  56.25  2610317
2017-02-13  56.46  2688057
2017-02-14  56.37  2755528
2017-02-15  56.48  3190217
2017-02-16  56.03  2674492
2017-02-17  55.40  3954074
2017-02-21  55.89  2780345
2017-02-22  55.50  3625237
2017-02-23  55.92  4377147
2017-02-24  56.03  3586664
2017-02-27  56.05  3478132
2017-02-28  55.95  2542491
2017-03-01  56.50  2682810
2017-03-02  56.57  1852711
2017-03-03  55.72  3252961
2017-03-06  55.74  2754501
2017-03-07  55.53  2172016
2017-03-08  55.53  2345141
2017-03-09  56.20  2492952
2017-03-10  57.21  3720515
2017-03-13  57.11  2362650
2017-03-14  56.99  2322380
2017-03-15  57.37  2389165
2017-03-16  57.54  2170733
2017-03-17  57.64  3796630
2017-03-20  57.76  1937734
2017-03-21  57.79  4017256
2017-03-22  58.29  5536709
2017-03-23  58.52  3638884
2017-03-24  58.60  4531752
2017-03-27  58.87  4375976
2017-03-28  59.26  7319787
2017-03-29  58.96  4112245
2017-03-30  59.29  4780667
2017-03-31  58.91  3435229
2017-04-03  58.72  4372531
2017-04-04  58.64  4480338
2017-04-05  58.80  3356317
2017-04-06  59.06  3553208
2017-04-07  58.61  4726445
2017-04-10  58.44  2888376
2017-04-11  57.78  4076237
2017-04-12  57.73  3901458
2017-04-13  57.47  3200257
2017-04-17  58.46  2982082
2017-04-18  58.37  4371522
2017-04-19  58.68  3141113
2017-04-20  59.21  2943172
2017-04-21  58.96  2193128
2017-04-24  59.62  3183942
2017-04-25  60.03  2540609
2017-04-26  60.55  3668410
2017-04-27  60.98  3274832
2017-04-28  61.77  4847138
2017-05-01  62.55  3479782
2017-05-02  62.70  2880182
2017-05-03  62.64  2258681
2017-05-04  62.97  3110147
2017-05-05  63.02  2236053
2017-05-08  62.73  2194182
2017-05-09  63.22  2677625
2017-05-10  62.14  4573900
2017-05-11  61.99  2365493
2017-05-12  61.19  2813074
2017-05-15  60.91  2735639
2017-05-16  61.20  3172267
2017-05-17  59.75  3349492
2017-05-18  61.04  3207053
2017-05-19  61.50  2883417
2017-05-22  62.05  2067889
2017-05-23  61.92  2135057
2017-05-24  62.02  2475363
2017-05-25  62.77  2383759
2017-05-26  63.36  1881824
2017-05-30  63.74  2219405
2017-05-31  64.07  3414115
2017-06-01  65.40  3578982
2017-06-02  65.47  5235110
2017-06-05  65.06  3056655
2017-06-06  64.33  3087887
2017-06-07  64.30  5103740
2017-06-08  64.33  3233958
2017-06-09  63.34  3200126
2017-06-12  63.59  3069548
2017-06-13  64.06  2469202
2017-06-14  64.76  3613704
2017-06-15  65.50  2699533
2017-06-16  65.64  3838000
2017-06-19  66.32  2846330
2017-06-20  65.70  2394471
2017-06-21  66.43  3518077
2017-06-22  65.69  6039076
2017-06-23  66.45  4000199
2017-06-26  66.00  3372845
2017-06-27  65.05  3014714
2017-06-28  66.10  2577700
2017-06-29  65.15  2776335
2017-06-30  65.57  2599269
2017-07-03  65.25  1773373
2017-07-05  66.54  2514062
2017-07-06  65.48  2946613
2017-07-07  65.83  3252235
2017-07-10  65.84  2104185ticker:ll            close   volume
date                      
2017-01-17  15.56   416218
2017-01-18  15.57   480378
2017-01-19  15.18   404009
2017-01-20  15.29   518593
2017-01-23  15.39   403179
2017-01-24  15.80   489716
2017-01-25  15.72   542266
2017-01-26  15.65   405989
2017-01-27  15.57   354366
2017-01-30  15.56   443045
2017-01-31  15.66   409265
2017-02-01  15.58   373724
2017-02-02  15.42   328079
2017-02-03  15.79   382615
2017-02-06  15.77   600157
2017-02-07  15.66   246930
2017-02-08  15.73   368406
2017-02-09  16.09   456556
2017-02-10  16.29   395258
2017-02-13  16.03   353564
2017-02-14  15.94   444069
2017-02-15  15.89   597170
2017-02-16  15.66   844809
2017-02-17  15.36   948288
2017-02-21  17.98  6049005
2017-02-22  18.19  2662805
2017-02-23  17.91  1477775
2017-02-24  17.39  1303548
2017-02-27  18.19   875945
2017-02-28  17.73   754723
2017-03-01  18.46  1389757
2017-03-02  18.40   698285
2017-03-03  18.19   528111
2017-03-06  18.00  1186301
2017-03-07  17.84   468165
2017-03-08  17.80   544793
2017-03-09  17.69   594297
2017-03-10  17.84   487109
2017-03-13  17.93   456363
2017-03-14  17.95   608235
2017-03-15  18.51   934828
2017-03-16  19.07  1012749
2017-03-17  19.29  1189670
2017-03-20  19.16   538676
2017-03-21  18.68   772285
2017-03-22  18.63   633570
2017-03-23  18.78   497644
2017-03-24  18.60   396839
2017-03-27  18.58   478465
2017-03-28  18.62   357761
2017-03-29  19.66   939840
2017-03-30  19.75   536053
2017-03-31  20.99  1755770
2017-04-03  22.46  3537632
2017-04-04  23.19  2997554
2017-04-05  22.60  1946486
2017-04-06  22.84  1255133
2017-04-07  22.70   815924
2017-04-10  22.22  1499744
2017-04-11  22.37  1044250
2017-04-12  21.96   910408
2017-04-13  21.56  1134420
2017-04-17  21.95   679376
2017-04-18  22.84  1599816
2017-04-19  22.79   909244
2017-04-20  23.14   962385
2017-04-21  23.05   834213
2017-04-24  22.66   794279
2017-04-25  22.97  1339866
2017-04-26  24.25  2215781
2017-04-27  24.36  1217504
2017-04-28  24.55  1312438
2017-05-01  24.41  1565297
2017-05-02  21.05  6930322
2017-05-03  21.22  2508809
2017-05-04  21.33  1531256
2017-05-05  21.89  1465818
2017-05-08  21.96   822536
2017-05-09  21.69   834111
2017-05-10  24.78  3204258
2017-05-11  25.31  2248403
2017-05-12  25.18   838211
2017-05-15  25.43   830411
2017-05-16  26.70  1743676
2017-05-17  25.56  1343889
2017-05-18  26.21  1076237
2017-05-19  29.13  4013257
2017-05-22  30.14  2299793
2017-05-23  29.98  1155946
2017-05-24  29.85   884335
2017-05-25  29.88  1124377
2017-05-26  29.90   796422
2017-05-30  29.52   718127
2017-05-31  28.98   932854
2017-06-01  29.09   800147
2017-06-02  28.28  1806690
2017-06-05  27.93  1172551
2017-06-06  27.32   989889
2017-06-07  26.71   970045
2017-06-08  26.83   713359
2017-06-09  26.55  1442059
2017-06-12  26.06  1200575
2017-06-13  25.91  1107554
2017-06-14  25.30  1435244
2017-06-15  24.94   830645
2017-06-16  24.92  1027290
2017-06-19  26.45  1303706
2017-06-20  25.93   817799
2017-06-21  25.85   630965
2017-06-22  26.04   606146
2017-06-23  25.77  1124866
2017-06-26  25.96   600222
2017-06-27  25.76   502010
2017-06-28  25.90   661748
2017-06-29  24.88  1314234
2017-06-30  25.06   657566
2017-07-03  25.25   368914
2017-07-05  25.40   682335
2017-07-06  24.83   680207
2017-07-07  24.98   675810
2017-07-10  24.35   715263ticker:ulta             close   volume
date                       
2017-01-17  263.06   412236
2017-01-18  265.50   638735
2017-01-19  266.12   829213
2017-01-20  266.22   634686
2017-01-23  266.02   446516
2017-01-24  268.81   501149
2017-01-25  272.01   654943
2017-01-26  272.42   503707
2017-01-27  271.44   365536
2017-01-30  270.18   680866
2017-01-31  272.28   820936
2017-02-01  269.54   443158
2017-02-02  270.75   462881
2017-02-03  272.06   442797
2017-02-06  273.08   721736
2017-02-07  272.49   427963
2017-02-08  272.82   444062
2017-02-09  272.87   492101
2017-02-10  269.84   671380
2017-02-13  268.12   613411
2017-02-14  271.46   620953
2017-02-15  273.64   520093
2017-02-16  272.09   395892
2017-02-17  275.15   449624
2017-02-21  277.26   505487
2017-02-22  277.19   313052
2017-02-23  274.60   487380
2017-02-24  276.33   465618
2017-02-27  275.69   398208
2017-02-28  273.43   425338
2017-03-01  274.83   588362
2017-03-02  277.45   509064
2017-03-03  278.15   463225
2017-03-06  275.59  1079238
2017-03-07  269.92  1641595
2017-03-08  275.47   823437
2017-03-09  273.77  1726447
2017-03-10  286.42  4576917
2017-03-13  286.91  1086792
2017-03-14  285.38   616464
2017-03-15  287.78   548145
2017-03-16  286.32   487389
2017-03-17  288.81   665208
2017-03-20  285.71   655616
2017-03-21  281.28   588070
2017-03-22  283.26   701431
2017-03-23  281.22   489018
2017-03-24  281.53   342243
2017-03-27  280.14   514642
2017-03-28  282.86   379744
2017-03-29  283.43   411384
2017-03-30  285.51   500205
2017-03-31  285.23   433911
2017-04-03  282.03   644353
2017-04-04  281.57   397907
2017-04-05  281.65   406049
2017-04-06  284.96   504863
2017-04-07  284.50   343323
2017-04-10  286.59   370013
2017-04-11  286.65   356930
2017-04-12  283.78   336712
2017-04-13  282.68   330321
2017-04-17  283.17   325869
2017-04-18  282.86   291893
2017-04-19  279.46  1042008
2017-04-20  278.73   560266
2017-04-21  279.50   507275
2017-04-24  278.21   707191
2017-04-25  277.99   512893
2017-04-26  279.69   488853
2017-04-27  281.68   679207
2017-04-28  281.44   348809
2017-05-01  283.22   493894
2017-05-02  288.59   516270
2017-05-03  290.36   457756
2017-05-04  292.21   327541
2017-05-05  295.47   477242
2017-05-08  297.54   532904
2017-05-09  299.57   592334
2017-05-10  299.47   434322
2017-05-11  299.91   505037
2017-05-12  297.55   469271
2017-05-15  295.41   578391
2017-05-16  293.33   696846
2017-05-17  292.09   754477
2017-05-18  297.82   887901
2017-05-19  294.08   709177
2017-05-22  294.94   612392
2017-05-23  290.55   925977
2017-05-24  280.51  2026063
2017-05-25  293.04  2136975
2017-05-26  302.40  2858743
2017-05-30  303.00   807137
2017-05-31  304.84   595895
2017-06-01  306.72   552779
2017-06-02  311.47   680297
2017-06-05  313.73   843117
2017-06-06  306.96   935608
2017-06-07  307.94   482951
2017-06-08  307.27   537763
2017-06-09  307.87   511845
2017-06-12  301.02   826601
2017-06-13  302.69   532158
2017-06-14  302.21   636414
2017-06-15  300.13   386958
2017-06-16  295.94   802111
2017-06-19  294.17   880966
2017-06-20  296.50  1014882
2017-06-21  288.84   981186
2017-06-22  284.14  1155149
2017-06-23  284.71   822778
2017-06-26  289.72   740873
2017-06-27  282.86   886833
2017-06-28  285.28   526887
2017-06-29  285.88   764984
2017-06-30  287.34   720927
2017-07-03  283.36   333040
2017-07-05  279.04  1294317
2017-07-06  273.24  1084648
2017-07-07  276.97   584678
2017-07-10  268.82  1099416ticker:chkp             close   volume
date                       
2017-01-17   90.39  1588644
2017-01-18   89.61  2929728
2017-01-19   96.34  7119767
2017-01-20   97.79  2354085
2017-01-23   97.79  1941583
2017-01-24   98.89  2012990
2017-01-25   96.63  2345616
2017-01-26   98.15  1555187
2017-01-27   99.46  2338333
2017-01-30   98.45  1345603
2017-01-31   98.77  1059399
2017-02-01   97.91  1281962
2017-02-02   98.43   972488
2017-02-03   99.40  1399580
2017-02-06   98.96  1661492
2017-02-07  100.27  2215108
2017-02-08   99.56  1521362
2017-02-09  100.45  1378837
2017-02-10  101.19  1057629
2017-02-13  100.94   782946
2017-02-14  100.97   678287
2017-02-15  100.85  1107626
2017-02-16  101.00   869555
2017-02-17  101.21   922119
2017-02-21  101.11  1535617
2017-02-22  100.56   783096
2017-02-23   99.81  1324437
2017-02-24   99.45  1773646
2017-02-27   99.22  1385847
2017-02-28   98.91  1005374
2017-03-01   99.34  1299183
2017-03-02   99.17   950521
2017-03-03   99.36   873540
2017-03-06   98.96   692509
2017-03-07   98.68   738033
2017-03-08   99.80   909426
2017-03-09   98.80   762897
2017-03-10   99.92   732527
2017-03-13  100.40   815233
2017-03-14   99.54   698717
2017-03-15  100.73   644783
2017-03-16  101.92  1228347
2017-03-17  101.42  1330723
2017-03-20  101.69   836562
2017-03-21  101.11  1366208
2017-03-22  102.84  1344474
2017-03-23  103.40  1129462
2017-03-24  103.38  1164260
2017-03-27  103.71   858628
2017-03-28  103.79   880850
2017-03-29  103.42   708184
2017-03-30  103.12   526512
2017-03-31  102.66   950799
2017-04-03  103.21  1530593
2017-04-04  102.80   474299
2017-04-05  102.87   738394
2017-04-06  102.60   620841
2017-04-07  103.16   561806
2017-04-10  103.30   485071
2017-04-11  103.36   489554
2017-04-12  104.00   946626
2017-04-13  103.53   888785
2017-04-17  103.10  1253959
2017-04-18  102.47  1625976
2017-04-19  102.82  1127040
2017-04-20  102.64   778083
2017-04-21  103.41  1035638
2017-04-24  104.38  1041587
2017-04-25  105.36   914461
2017-04-26  104.22  2060751
2017-04-27  104.39  1603395
2017-04-28  104.01  1121975
2017-05-01  103.81  1232444
2017-05-02  104.44   747236
2017-05-03  104.38   671444
2017-05-04  106.25   909872
2017-05-05  106.00   720353
2017-05-08  106.32   735680
2017-05-09  106.04   656591
2017-05-10  106.05   707405
2017-05-11  105.72   633570
2017-05-12  107.60   963293
2017-05-15  110.36  2616970
2017-05-16  110.47  1180779
2017-05-17  108.38   971472
2017-05-18  108.69   838537
2017-05-19  108.43   871831
2017-05-22  109.57   695745
2017-05-23  109.62   675854
2017-05-24  109.95   864470
2017-05-25  111.40   873259
2017-05-26  111.21   642615
2017-05-30  111.42  1469886
2017-05-31  112.05  2068720
2017-06-01  111.59  1626585
2017-06-02  112.86   961366
2017-06-05  113.47   630082
2017-06-06  113.71   849442
2017-06-07  114.95  1076865
2017-06-08  115.47   722539
2017-06-09  110.80  1338728
2017-06-12  109.66  1865095
2017-06-13  111.06   947851
2017-06-14  111.09  1009358
2017-06-15  110.18   690771
2017-06-16  110.00  1384208
2017-06-19  111.77   759532
2017-06-20  111.17   760483
2017-06-21  112.57   837318
2017-06-22  113.51  1365889
2017-06-23  113.95   895430
2017-06-26  112.57   752918
2017-06-27  111.22  1026155
2017-06-28  112.40   969422
2017-06-29  109.59   967056
2017-06-30  109.08  1019660
2017-07-03  108.10   574183
2017-07-05  110.34   962481
2017-07-06  109.86   941974
2017-07-07  111.44   895400
2017-07-10  111.85   859730ticker:mo            close    volume
date                       
2017-01-17  68.48   9012470
2017-01-18  69.16   8063446
2017-01-19  69.55   7853618
2017-01-20  70.01  10188176
2017-01-23  70.55   6508808
2017-01-24  70.76   6510514
2017-01-25  70.96   6112694
2017-01-26  70.85   5969712
2017-01-27  71.03   5915750
2017-01-30  71.30   8574650
2017-01-31  71.18  11463030
2017-02-01  71.39  11416270
2017-02-02  71.45   8108466
2017-02-03  71.49   6817367
2017-02-06  71.29   5192543
2017-02-07  72.20   5239941
2017-02-08  72.15   4848465
2017-02-09  72.49   5183179
2017-02-10  72.42   4154904
2017-02-13  72.04   5175932
2017-02-14  71.88   5120224
2017-02-15  72.17   5222302
2017-02-16  72.71   5593983
2017-02-17  72.97   5568728
2017-02-21  73.65   5329322
2017-02-22  73.60   4401162
2017-02-23  74.46   4116768
2017-02-24  74.43   4959965
2017-02-27  74.59   6319978
2017-02-28  74.92   7160929
2017-03-01  75.60   6044058
2017-03-02  75.72   7491110
2017-03-03  75.57   6044148
2017-03-06  75.58   5762373
2017-03-07  76.10   6108348
2017-03-08  75.84   4863056
2017-03-09  76.19   5344947
2017-03-10  76.45   6877458
2017-03-13  75.65   6836239
2017-03-14  75.34   8255535
2017-03-15  75.67   8470799
2017-03-16  75.30   5706822
2017-03-17  75.16   9946963
2017-03-20  75.58   5793132
2017-03-21  75.93   6487965
2017-03-22  75.07   7679961
2017-03-23  74.02  10714382
2017-03-24  73.17  11785992
2017-03-27  73.20   6421294
2017-03-28  73.19   5587269
2017-03-29  72.96   4211134
2017-03-30  72.05   7907875
2017-03-31  71.42   9145956
2017-04-03  71.62   7508282
2017-04-04  71.95   5218465
2017-04-05  71.93   7092361
2017-04-06  71.42   6398942
2017-04-07  71.71   4331142
2017-04-10  71.76   5576763
2017-04-11  72.08   4472754
2017-04-12  72.16   5131487
2017-04-13  71.30   5120571
2017-04-17  72.31   4781808
2017-04-18  72.34   5010452
2017-04-19  72.11   3374297
2017-04-20  71.41   5736783
2017-04-21  71.47   6814877
2017-04-24  72.55   5590225
2017-04-25  72.43   6748003
2017-04-26  71.51   7477875
2017-04-27  71.53   4857348
2017-04-28  71.78   4089931
2017-05-01  70.80   6380697
2017-05-02  70.83   8482098
2017-05-03  70.22   5869836
2017-05-04  70.31   6309348
2017-05-05  70.92   4499552
2017-05-08  70.71   4455247
2017-05-09  70.29   5170828
2017-05-10  70.31   5205780
2017-05-11  70.48   4073228
2017-05-12  70.65   3401384
2017-05-15  70.67   4951532
2017-05-16  70.95   4234224
2017-05-17  70.55   5313775
2017-05-18  70.54   5352267
2017-05-19  70.90   5459951
2017-05-22  72.04   7974560
2017-05-23  72.13   6492751
2017-05-24  72.85   4829316
2017-05-25  74.14   7524988
2017-05-26  74.41   5680989
2017-05-30  75.07   6074951
2017-05-31  75.44  18510123
2017-06-01  75.40   6831538
2017-06-02  75.12   7908924
2017-06-05  75.06   6149372
2017-06-06  75.27   5779340
2017-06-07  75.61   5019550
2017-06-08  75.21   5453098
2017-06-09  75.46   5637666
2017-06-12  75.40   5951545
2017-06-13  74.95   5196451
2017-06-14  75.75   6227048
2017-06-15  76.41   4746947
2017-06-16  77.28   9783874
2017-06-19  77.71   4612291
2017-06-20  77.33   3660761
2017-06-21  77.03   4394959
2017-06-22  76.48   4232037
2017-06-23  76.49   3876672
2017-06-26  76.53   3969222
2017-06-27  75.38   5488097
2017-06-28  75.84   3377910
